"","euclidean","manhattan","maximum","canberra","binary","minkowski","pearson","kendall","spearman","Goodman.Kruskal","cosine","TOM","Optimize"
"DB","NaN","NaN","NaN","NA","1.43799929224302","NaN","1.43799929224302","1.43799929224302","1.43799929224302","1.43799929224302","1.43799929224302","1.43799929224302","binary"
"CH","Inf","Inf","NaN","NA","1.91952806764908","Inf","1.91952806764908","1.91952806764908","1.91952806764908","1.91952806764908","1.91952806764908","1.91952806764908","euclidean"
"Gamma","0","0","0","NA","1","0","0.666666666666667","0.962962962962963","0.962962962962963","0.962962962962963","0.777777777777778","1","binary"
"CI","0.60437585882989","0.605573850021543","0.767271845676211","NA","0.666666666666667","0.60437585882989","0.566923652110152","0.321428571428571","0.309677419354839","0.297101449275362","0.621636295995247","0.464740843469963","Goodman-Kruskal"
"S","NaN","NaN","NaN","NA","0.486265749341786","NaN","0.303248808694044","0.500180349134063","0.570272039012267","0.581686603963796","0.297658955381247","0.216513329423673","Goodman-Kruskal"
