GeneID	EACO	Pathway
LOCMI10694	Ea	Pentose and glucuronate interconversions:map00040
LOCMI13201	Ea	Pentose and glucuronate interconversions:map00040
LOCMI13396	Ea	Pentose and glucuronate interconversions:map00040
LOCMI13812	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15489	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15814	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15839	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15851	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15867	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15882	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15891	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15896	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15903	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15907	Ea	Pentose and glucuronate interconversions:map00040
LOCMI15985	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16979	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16983	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16984	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16990	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16992	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16994	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16996	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16997	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16998	Ea	Pentose and glucuronate interconversions:map00040
LOCMI16999	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17001	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17012	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17015	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17023	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17030	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17032	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17034	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17035	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17036	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17039	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17043	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17044	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17045	Ea	Pentose and glucuronate interconversions:map00040
LOCMI17046	Ea	Pentose and glucuronate interconversions:map00040
LOCMI01471	Ea	Fructose and mannose metabolism:map00051
LOCMI01954	Ea	Fructose and mannose metabolism:map00051
LOCMI02041	Ea	Fructose and mannose metabolism:map00051
LOCMI03567	Ea	Fructose and mannose metabolism:map00051
LOCMI04167	Ea	Fructose and mannose metabolism:map00051
LOCMI04896	Ea	Fructose and mannose metabolism:map00051
LOCMI05849	Ea	Fructose and mannose metabolism:map00051
LOCMI05915	Ea	Fructose and mannose metabolism:map00051
LOCMI06643	Ea	Fructose and mannose metabolism:map00051
LOCMI08614	Ea	Fructose and mannose metabolism:map00051
LOCMI12268	Ea	Fructose and mannose metabolism:map00051
LOCMI12464	Ea	Fructose and mannose metabolism:map00051
LOCMI12827	Ea	Fructose and mannose metabolism:map00051
LOCMI14321	Ea	Fructose and mannose metabolism:map00051
LOCMI14322	Ea	Fructose and mannose metabolism:map00051
LOCMI14323	Ea	Fructose and mannose metabolism:map00051
LOCMI14325	Ea	Fructose and mannose metabolism:map00051
LOCMI15802	Ea	Fructose and mannose metabolism:map00051
LOCMI15814	Ea	Fructose and mannose metabolism:map00051
LOCMI15833	Ea	Fructose and mannose metabolism:map00051
LOCMI15867	Ea	Fructose and mannose metabolism:map00051
LOCMI15882	Ea	Fructose and mannose metabolism:map00051
LOCMI15978	Ea	Fructose and mannose metabolism:map00051
LOCMI16055	Ea	Fructose and mannose metabolism:map00051
LOCMI16063	Ea	Fructose and mannose metabolism:map00051
LOCMI00063	Ea	Galactose metabolism:map00052
LOCMI03726	Ea	Galactose metabolism:map00052
LOCMI04593	Ea	Galactose metabolism:map00052
LOCMI05976	Ea	Galactose metabolism:map00052
LOCMI06197	Ea	Galactose metabolism:map00052
LOCMI07493	Ea	Galactose metabolism:map00052
LOCMI09105	Ea	Galactose metabolism:map00052
LOCMI09697	Ea	Galactose metabolism:map00052
LOCMI11868	Ea	Galactose metabolism:map00052
LOCMI13201	Ea	Galactose metabolism:map00052
LOCMI13623	Ea	Galactose metabolism:map00052
LOCMI13816	Ea	Galactose metabolism:map00052
LOCMI14855	Ea	Galactose metabolism:map00052
LOCMI15489	Ea	Galactose metabolism:map00052
LOCMI15802	Ea	Galactose metabolism:map00052
LOCMI15814	Ea	Galactose metabolism:map00052
LOCMI15833	Ea	Galactose metabolism:map00052
LOCMI15834	Ea	Galactose metabolism:map00052
LOCMI15855	Ea	Galactose metabolism:map00052
LOCMI15867	Ea	Galactose metabolism:map00052
LOCMI15882	Ea	Galactose metabolism:map00052
LOCMI16027	Ea	Galactose metabolism:map00052
LOCMI16036	Ea	Galactose metabolism:map00052
LOCMI16055	Ea	Galactose metabolism:map00052
LOCMI02005	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI03491	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI07298	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI08865	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI13444	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI13445	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI13447	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI13448	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15839	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15851	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15874	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15891	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15896	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15907	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15912	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15985	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16979	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16983	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16984	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16990	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16992	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16994	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16996	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16997	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16998	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI16999	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17001	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17012	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17015	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17023	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17030	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17032	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17034	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17035	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17036	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17039	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17043	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17044	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17045	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI17046	Ea	Ascorbate and aldarate metabolism:map00053
LOCMI15764	Ea	Fatty acid biosynthesis:map00061
LOCMI15937	Ea	Fatty acid biosynthesis:map00061
LOCMI15987	Ea	Fatty acid biosynthesis:map00061
LOCMI16005	Ea	Fatty acid biosynthesis:map00061
LOCMI16095	Ea	Fatty acid biosynthesis:map00061
LOCMI16101	Ea	Fatty acid biosynthesis:map00061
LOCMI15806	Ea	Fatty acid elongation:map00062
LOCMI15900	Ea	Fatty acid elongation:map00062
LOCMI15940	Ea	Fatty acid elongation:map00062
LOCMI15944	Ea	Fatty acid elongation:map00062
LOCMI15945	Ea	Fatty acid elongation:map00062
LOCMI15972	Ea	Fatty acid elongation:map00062
LOCMI15991	Ea	Fatty acid elongation:map00062
LOCMI16015	Ea	Fatty acid elongation:map00062
LOCMI16041	Ea	Fatty acid elongation:map00062
LOCMI16045	Ea	Fatty acid elongation:map00062
LOCMI16046	Ea	Fatty acid elongation:map00062
LOCMI16047	Ea	Fatty acid elongation:map00062
LOCMI16050	Ea	Fatty acid elongation:map00062
LOCMI16955	Ea	Fatty acid elongation:map00062
LOCMI15806	Ea	Fatty acid degradation:map00071
LOCMI15809	Ea	Fatty acid degradation:map00071
LOCMI15821	Ea	Fatty acid degradation:map00071
LOCMI15827	Ea	Fatty acid degradation:map00071
LOCMI15828	Ea	Fatty acid degradation:map00071
LOCMI15839	Ea	Fatty acid degradation:map00071
LOCMI15841	Ea	Fatty acid degradation:map00071
LOCMI15851	Ea	Fatty acid degradation:map00071
LOCMI15853	Ea	Fatty acid degradation:map00071
LOCMI15857	Ea	Fatty acid degradation:map00071
LOCMI15874	Ea	Fatty acid degradation:map00071
LOCMI15891	Ea	Fatty acid degradation:map00071
LOCMI15896	Ea	Fatty acid degradation:map00071
LOCMI15897	Ea	Fatty acid degradation:map00071
LOCMI15898	Ea	Fatty acid degradation:map00071
LOCMI15899	Ea	Fatty acid degradation:map00071
LOCMI15900	Ea	Fatty acid degradation:map00071
LOCMI15907	Ea	Fatty acid degradation:map00071
LOCMI15912	Ea	Fatty acid degradation:map00071
LOCMI15923	Ea	Fatty acid degradation:map00071
LOCMI15926	Ea	Fatty acid degradation:map00071
LOCMI15935	Ea	Fatty acid degradation:map00071
LOCMI15939	Ea	Fatty acid degradation:map00071
LOCMI15940	Ea	Fatty acid degradation:map00071
LOCMI15944	Ea	Fatty acid degradation:map00071
LOCMI15961	Ea	Fatty acid degradation:map00071
LOCMI15985	Ea	Fatty acid degradation:map00071
LOCMI15997	Ea	Fatty acid degradation:map00071
LOCMI16007	Ea	Fatty acid degradation:map00071
LOCMI16020	Ea	Fatty acid degradation:map00071
LOCMI16025	Ea	Fatty acid degradation:map00071
LOCMI16046	Ea	Fatty acid degradation:map00071
LOCMI16047	Ea	Fatty acid degradation:map00071
LOCMI16298	Ea	Fatty acid degradation:map00071
LOCMI16324	Ea	Fatty acid degradation:map00071
LOCMI16359	Ea	Fatty acid degradation:map00071
LOCMI16371	Ea	Fatty acid degradation:map00071
LOCMI16955	Ea	Fatty acid degradation:map00071
LOCMI15765	Ea	Synthesis and degradation of ketone bodies:map00072
